region,type_territoire,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014,total_2015,total_2016,total_2017,secteur_biens_2007,secteur_biens_2008,secteur_biens_2009,secteur_biens_2010,secteur_biens_2011,secteur_biens_2012,secteur_biens_2013,secteur_biens_2014,secteur_biens_2015,secteur_biens_2016,secteur_biens_2017,secteur_service_2007,secteur_service_2008,secteur_service_2009,secteur_service_2010,secteur_service_2011,secteur_service_2012,secteur_service_2013,secteur_service_2014,secteur_service_2015,secteur_service_2016,secteur_service_2017
Abitibi-Témiscamingue,region administrative,5713924,5768015,5862342,6598444,7396953,7210556,7356310,7248382,7131431,7407970,7813066,2786869,2822952,2720742,3382416,3906686,3537711,3571012,3400477,3245514,3427084,3625914,2927055,2945063,3141600,3216027,3490267,3672845,3785298,3847905,3885917,3980886,4187152
Bas-Saint-Laurent,region administrative,5858003,5929374,5888533,6043336,6275487,6472604,6828837,6969754,6826531,7053438,7403830,1875443,1834898,1688314,1815222,1861353,1928068,2139815,2155015,1995585,2134182,2267653,3982559,4094477,4200219,4228114,4414133,4544535,4689023,4814739,4830946,4919255,5136177
Capitale-Nationale,region administrative,27462922,28698295,29526015,30602895,31796259,33059123,34155290,35194309,35435944,36502389,38193912,5354683,5429400,5409711,5692852,5637139,5781131,5743695,5917885,5790717,6171092,6438233,22108239,23268895,24116304,24910044,26159120,27277992,28411595,29276424,29645227,30331297,31755679
Centre-du-Québec,region administrative,7372929,7527848,7574224,7705929,8031781,8200372,8428347,8642622,8757793,9070427,9517010,3248081,3287234,3185307,3322060,3476001,3447685,3424732,3446609,3448018,3600230,3781535,4124848,4240614,4388917,4383869,4555781,4752687,5003615,5196013,5309775,5470197,5735475
Chaudière-Appalaches,region administrative,12721676,12805711,13072548,13334015,14313029,14185248,14759751,15359218,16605395,16951322,18149054,5163428,4916430,5015727,5225779,5792249,5301273,5487161,5747471,6538653,6608094,7342762,7558249,7889281,8056821,8108236,8520779,8883975,9272590,9611747,10066743,10343227,10806293
Côte-Nord et Nord-du-Québec,region administrative,7565120,8032923,7322910,9245406,10278461,10594654,10727690,10102732,9669882,9887031,10355561,5079669,5528570,4748259,6251036,7097277,7235499,7182041,6431212,5893012,6065085,6368543,2485451,2504354,2574652,2994371,3181184,3359155,3545649,3671520,3776869,3821945,3987018
Estrie,region administrative,9249467,9387207,9308108,9601429,9961424,10386305,10709911,11030917,11258803,11564169,12073231,3063533,2999550,2694840,2912276,2971903,3116543,3157140,3258833,3396917,3534578,3640265,6185934,6387657,6613268,6689153,6989521,7269762,7552771,7772085,7861885,8029591,8432967
Gaspésie–Îles-de-la-Madeleine,region administrative,2132126,2271019,2314492,2514185,2705967,2629054,2737473,2884104,3134128,3318808,3214890,590446,655356,619399,802246,927161,797826,838705,970364,1169098,1320762,1144493,1541680,1615664,1695093,1711939,1778806,1831228,1898768,1913740,1965030,1998046,2070397
Lanaudière,region administrative,9759614,10172639,10240724,10857687,11273265,11588280,11785749,12248352,12793370,13209493,13886576,2722598,2837383,2685956,2813322,2934194,2984452,2754846,2807034,3066197,3168813,3319246,7037016,7335255,7554768,8044364,8339071,8603828,9030903,9441318,9727173,10040679,10567330
Laurentides,region administrative,14808345,15370930,15312994,16416704,16757239,17419713,18115520,18477142,19850684,20203304,21188317,4665267,4841730,4490429,4723264,4699794,4942238,5115377,5225617,5852449,5854543,6078283,10143078,10529200,10822565,11693440,12057445,12477475,13000143,13251526,13998236,14348760,15110034
Laval,region administrative,11529983,12051372,12020701,12475456,12746026,13288588,13576577,13966731,14649305,15061576,15776035,2794165,2964321,2714156,2775980,2657489,2886175,2725368,2686437,2928626,2942085,3075246,8735818,9087052,9306545,9699476,10088537,10402413,10851208,11280295,11720680,12119491,12700789
Mauricie,region administrative,7733148,8093688,7873530,7958225,8120378,8243505,8486015,8719214,8955256,9117005,9589573,2835809,3021663,2631525,2620470,2620382,2545903,2597476,2625613,2785459,2828164,2956982,4897339,5072025,5242005,5337755,5499996,5697603,5888538,6093602,6169797,6288841,6632591
Montérégie,region administrative,43056406,43926475,43624448,46036917,47672196,49056844,49920890,51468517,54410146,56372558,59124124,15053763,15056038,14164562,14837597,15131364,15486779,15012454,15471925,16392793,17183690,17926296,28002643,28870437,29459886,31199320,32540832,33570066,34908436,35996593,38017353,39188868,41197828
Montréal,region administrative,100421747,102771459,103082278,105900413,110988946,113742670,117534285,121985946,123940642,127616718,134073411,24125264,23912169,23175576,23874987,25210671,25679655,26427881,27413139,28557302,28732144,30119964,76296483,78859290,79906702,82025426,85778275,88063014,91106404,94572807,95383340,98884574,103953448
Outaouais,region administrative,9923032,10388456,10820511,10978914,11335587,11473582,11658706,12014824,12612006,12823087,13632351,1850054,1965106,1822273,1884489,1794037,1957410,1644355,1793499,2001415,1875701,2133621,8072978,8423350,8998238,9094425,9541550,9516171,10014351,10221325,10610591,10947385,11498730
Saguenay–Lac-Saint-Jean,region administrative,9170527,9361353,8674991,9214709,10179816,10006290,10067888,10425576,10362485,10477707,10959059,3861100,3861232,3231595,3471383,4103809,3724482,3555503,3755349,3650175,3583889,3736784,5309427,5500121,5443395,5743327,6076006,6281808,6512385,6670227,6712310,6893819,7222274
Ensemble du Québec,province,284478970,292556766,292519350,305484665,319832815,327557387,336849238,346738342,356393801,366637000,384950000,85070173,85934032,80998370,86405379,90821511,91352831,91377561,93106478,96711930,99030139,103955818,199408797,206622734,211520980,219079286,229011304,236204556,245471677,253631864,259681871,267606861,280994182
Côte-Nord,autre,4803605,5064156,4711693,6110348,7188661,7394194,7257611,6594046,6156018,6040761,6222622,2941654,3224853,2834116,4095299,5021342,5101806,4822724,4073710,3611298,3492788,3572022,1861951,1839303,1877578,2015049,2167319,2292389,2434887,2520336,2544720,2547972,2650600
Nord-du-Québec,autre,2761515,2968767,2611217,3135058,3089800,3200460,3470079,3508686,3513864,3846270,4132939,2138015,2303717,1914143,2155737,2075935,2133693,2359317,2357502,2281714,2572297,2796521,623500,665051,697074,979322,1013865,1066766,1110762,1151184,1232149,1273973,1336418
