region,type_territoire,type_territoire,revenu_marche_dollars,revenu_marche_ecart_quebec_pourcentage,transferts_administrations_publiques_dollars,transferts_administrations_publiques_ecart_quebec_pourcentage,revenu_personnel_dollars,revenu_personnel_ecart_quebec_pourcentage,impots_cotisations_autres_transferts_dollars,impots_cotisations_autres_transferts_ecart_quebec_pourcentage,revenu_personnel_disponible_dollars,revenu_personnel_disponible_ecart_quebec_pourcentage
Le Québec,province,type_territoire,32317,,8609,,40927,,14069,,26857,
Abitibi-Témiscamingue,region administrative,type_territoire,32755,1.4,8649,0.5,41404,1.2,14285,1.5,27118,1.0
Bas-Saint-Laurent,region administrative,type_territoire,25585,-20.8,9951,15.6,35535,-13.2,11070,-21.3,24465,-8.9
Capitale-Nationale,region administrative,type_territoire,34375,6.4,9627,11.8,44002,7.5,15723,11.8,28279,5.3
Centre-du-Québec,region administrative,type_territoire,27256,-15.7,8810,2.3,36067,-11.9,11178,-20.5,24888,-7.3
Chaudière-Appalaches,region administrative,type_territoire,31302,-3.1,8789,2.1,40092,-2.0,13341,-5.2,26750,-0.4
Côte-Nord,region administrative,type_territoire,32477,0.5,9177,6.6,41654,1.8,14643,4.1,27011,0.6
Nord-du-Québec,region administrative,type_territoire,25523,-21.0,7033,-18.3,32556,-20.5,8471,-39.8,24085,-10.3
Estrie,region administrative,type_territoire,28164,-12.9,9227,7.2,37391,-8.6,12026,-14.5,25365,-5.6
Gaspésie–Îles-de-la-Madeleine,region administrative,type_territoire,22978,-28.9,11358,31.9,34336,-16.1,9877,-29.8,24458,-8.9
Lanaudière,region administrative,type_territoire,30712,-5.0,8546,-0.7,39258,-4.1,13149,-6.5,26108,-2.8
Laurentides,region administrative,type_territoire,33230,2.8,8492,-1.4,41722,1.9,14068,0.0,27654,3.0
Laval,region administrative,type_territoire,33171,2.6,7790,-9.5,40961,0.1,14509,3.1,26453,-1.5
Mauricie,region administrative,type_territoire,25552,-20.9,10292,19.5,35844,-12.4,11367,-19.2,24477,-8.9
Montérégie,region administrative,type_territoire,34646,7.2,8449,-1.9,43095,5.3,15069,7.1,28026,4.4
Montréal,region administrative,type_territoire,33926,5.0,7813,-9.3,41738,2.0,14598,3.8,27140,1.1
Outaouais,region administrative,type_territoire,32401,0.3,8337,-3.2,40738,-0.5,15128,7.5,25610,-4.6
Région métropolitaine de Gatineau,region métropolitaine,type_territoire,34293,6.1,8076,-6.2,42370,3.5,16227,15.3,26142,-2.7
Région métropolitaine de Montréal,region métropolitaine,type_territoire,34916,8.0,7893,-8.3,42809,4.6,15178,7.9,27631,2.9
Région métropolitaine de Québec,region métropolitaine,type_territoire,35726,10.5,9383,9.0,45109,10.2,16354,16.2,28755,7.1
Région métropolitaine de Saguenay,region métropolitaine,type_territoire,29493,-8.7,10038,16.6,39531,-3.4,13634,-3.1,25897,-3.6
Région métropolitaine de Sherbrooke,region métropolitaine,type_territoire,29464,-8.8,9045,5.1,38509,-5.9,12822,-8.9,25687,-4.4
Région métropolitaine de Trois-Rivières,region métropolitaine,type_territoire,27953,-13.5,10037,16.6,37991,-7.2,12538,-10.9,25453,-5.2
Saguenay–Lac-Saint-Jean,region administrative,type_territoire,28142,-12.9,9886,14.8,38028,-7.1,12697,-9.8,25331,-5.7